Date,Startup Name,SubVertical,City,Amount,is_funded,Year,Month,Industry Vertical Cleaned,InvestmentType_Cleaned,Investors_Cleaned
2017-03-31,BigBasket,Online Grocer,bengaluru,7000000.0,1,2017,3,e-commerce,Private Equity,Trifecta Capital
2017-03-31,Rooter,Sports engagement platform,delhi,,0,2017,3,consumer services,Private Equity,Intex Technologies
2017-03-31,FalconBrick,Real-Estate Workflow mobile app,bengaluru,,0,2017,3,technology,Seed,"Satveer Thakral, Letsventure, Mumbai Angels"
2017-03-31,Icertis,ERP solutions provider,pune,25000000.0,1,2017,3,technology,Private Equity,"B Capital Group, Ignition Partners, Greycroft, E.Ventures,\\Xc2\\Xa0 Eight Roads Ventures"
2017-02-02,Clodura,Intelligent Sales Assistant,pune,,0,2017,2,technology,Seed,Undisclosed
2017-02-03,Stockroom.io,Curated Platform for Developers,hyderabad,,0,2017,2,consumer services,Seed,"Satya D Sinha, Gyanendra Singh"
2017-02-06,Capital Float,Online lending platform,bengaluru,2500000.0,1,2017,2,consumer services,Private Equity,Ifmr Capital Finance
2017-02-06,iManageMyHotel,Hotel Management Solution,kolkata,,0,2017,2,technology,Seed,Jaarvis Accelerator
2017-02-07,Inner Hour,Online Counselling Platform,mumbai,450000.0,1,2017,2,consumer services,Seed,"Batlivala & Karani Securities, Venture Works"
2017-02-07,Travel Triangle,Online travel agent marketplace,noida,10000000.0,1,2017,2,consumer services,Private Equity,"Rb Investments, Saif Partners, Bessemer Venture Partners"
2017-02-08,Wandertrails,"Online Travel, Adventure & Activities Portal",bengaluru,1000000.0,1,2017,2,consumer services,Seed,Earlsfield Capital
2017-02-08,Zenatix,IoT Based Energy Monitoring & Control,gurgaon,1200000.0,1,2017,2,technology,Private Equity,"Pi Ventures, Blume Ventures"
2017-02-08,Cartrade,Automobile Classifieds Portal,mumbai,55000000.0,1,2017,2,consumer services,Private Equity,Temasek Holdings
2017-02-08,MindYourFleet,Car Rental Software Solutions,noida,,0,2017,2,technology,Seed,"Japan Vyas, Tarun Adlakha"
2017-02-08,Edurev,Online Education Portal,gurgaon,40000.0,1,2017,2,consumer services,Seed,Facebook Fb Start Programme
2017-02-09,Voonik,Women Apparel & Lifestyle etailer,bengaluru,6000000.0,1,2017,2,e-commerce,Private Equity,"Rb Investments, Sequoia Capital"
2017-02-09,1Crowd,Startup Crowd-funding platform,mumbai,,0,2017,2,finance,Seed,Ganesh Natarajan
2017-02-09,Wooplr,Women Fashion Portal,bengaluru,8000000.0,1,2017,2,e-commerce,Private Equity,"Sistema Asia Fund, Amereus Group, Helion Ventures"
2017-02-10,48East,Online Food Delivery Platform,bengaluru,500000.0,1,2017,2,e-commerce,Private Equity,Al Dhaheri Family
2017-02-10,Redesyn,Tech Enabler for Artists,mumbai,,0,2017,2,consumer services,Seed,Thinqbate
2017-02-13,Sigtuple,Medical Automation platform,bengaluru,5800000.0,1,2017,2,technology,Private Equity,"Accel Partners, Idg Ventures, Endiya Partners, Pi Ventures, Vh Capital, Axilor Partners"
2017-02-13,Flutura,Decision Sciences Analytics Solutions,bengaluru,7500000.0,1,2017,2,technology,Private Equity,"Vertex Ventures, Lumis Partners"
2017-02-13,Wassup,On Demand Laundry & Dry Cleaning Services,chennai,3200000.0,1,2017,2,consumer services,Private Equity,Anil Jain & Other Hnis
2017-02-13,Better Mortgage,Mortgage Offering Platform,gurgaon,15000000.0,1,2017,2,consumer services,Private Equity,"Kleiner Perkins, Goldman Sachs, Pine Brook"
2017-02-13,Nurturey,Parenting Mobile App,delhi,330000.0,1,2017,2,consumer services,Seed,Mohit Joshi & Others
2017-02-13,Fyle,Expense Management Solution,bengaluru,400000.0,1,2017,2,technology,Seed,Pravega Ventures
2017-02-14,GoBumpr,Online Bike & Car Services provider,chennai,300000.0,1,2017,2,consumer services,Seed,"Mahalingam K, Girish Mathrubootham"
2017-02-14,CCAvenue,Online Payment Gateway,mumbai,22400000.0,1,2017,2,consumer services,Private Equity,Infibeam
2017-02-14,Connaizen,Data Analytics platform,delhi,,0,2017,2,technology,Seed,Vikram Sud
2017-02-15,Innov8,Co-Working Space Platform,delhi,,0,2017,2,consumer services,Seed,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye"
2017-02-15,ZestMoney,Online Consumer Lending platform,bengaluru,6500000.0,1,2017,2,consumer services,Private Equity,"Payu, Ribbit Capital, Omidyar Network"
2017-02-15,AirZaar,Drone operations management platform,missourie,350000.0,1,2017,2,technology,Seed,Quake Capital
2017-02-16,Truebil,Online Marketplace for Used Cars,mumbai,3000000.0,1,2017,2,consumer services,Private Equity,Shunwei Capital
2017-02-16,YourStory,Online Media,bengaluru,3000000.0,1,2017,2,consumer services,Private Equity,"Kalaari Capital Partners, Qualcomm, 3One4 Capital Advisors, Uc-Rnt"
2017-02-17,Imaginate,AR & VR platform,hyderabad,500000.0,1,2017,2,technology,Seed,Sri Capital
2017-02-17,The Ken,Online Media Platform,bengaluru,400000.0,1,2017,2,consumer services,Seed,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others"
2017-02-17,Urban Ladder,Online Furniture Store,bengaluru,15200000.0,1,2017,2,e-commerce,Private Equity,"Kalaari Capital, Saif Partners, Steadview Capital, Sequoia Capital"
2017-02-17,Aisle,Online match-making app,bengaluru,,0,2017,2,consumer services,Seed,"Konglo Ventures, White Unicorn Ventures, Letsventure"
2017-02-17,TownScript,DIY event registration and ticketing portal,pune,,0,2017,2,consumer services,Private Equity,Bookmyshow
2017-02-17,Leopetra,Solution provider for pet needs,mumbai,40000.0,1,2017,2,e-commerce,Seed,Facebook Fbstart
2017-02-18,Blood n Care,First Aid care app,gurgaon,40000.0,1,2017,2,consumer services,Seed,Facebook Fbstart
2017-02-20,Flipkart,Online Marketplace,bengaluru,38700000.0,1,2017,2,e-commerce,Private Equity,"Bennett, Coleman And Co. Ltd (Bccl)"
2017-02-21,True Balance,Mobile balance Checking App,gurgaon,15000000.0,1,2017,2,consumer services,Private Equity,"Softbank Ventures Korea, Imm Investment"
2017-02-22,Vebbler,Photo Sharing for Groups,bengaluru,40000.0,1,2017,2,consumer services,Seed,Facebook Fbstart
2017-02-23,Get My Parking,Smart Parking Platform,delhi,1100000.0,1,2017,2,consumer services,Private Equity,"Indian Angel Network (Ian), Beenext, The Chennai Angels, Sunil Munjal"
2017-02-23,Lets Reap,B2B Mobile App for Pharmacies,mumbai,,0,2017,2,consumer services,Seed,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal"
2017-02-24,Oglas,Mobile Advertising App,noida,,0,2017,2,consumer services,Seed,"Pankaj Rungta, Yogesh Agarwal"
2017-02-27,Staydobe,Co-Living Spaces Aggregator,bengaluru,,0,2017,2,consumer services,Seed,Ishan Manaktala
2017-02-27,Biryani By Kilo,Online Food Ordering & Delivery Portal,gurgaon,375000.0,1,2017,2,consumer services,Seed,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others"
2017-02-27,Johari Shop,Online Jewellery etailer,bengaluru,94000.0,1,2017,2,e-commerce,Seed,Undisclosed
2017-02-28,NeoStencil,Live Online Coaching Classes,delhi,1000000.0,1,2017,2,consumer services,Private Equity,"Brand Capital, Paragon Trust"
2017-02-28,Blackbuck,Online freight aggregator,bengaluru,70000000.0,1,2017,2,logistics,Private Equity,"Sands Capital, Ifc, Accel Partners, Flipkart, Sanjiv Rangrass"
2017-01-02,TaxSutra,Online Tax Filing platform,pune,366000.0,1,2017,1,consumer services,Seed,"Tv Mohandas Pai, V Balakrishnan, Pv Srinivasan"
2017-01-03,TempoGo,IoT & SAAS Solutions for Transportation Industry,panaji,825000.0,1,2017,1,technology,Seed,K2 Capital
2017-01-03,GoFynd,Fashion ecommerce portal,mumbai,,0,2017,1,e-commerce,Seed,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma"
2017-01-03,Vow Car Clinic,Online/App Based Car cleaning service provider,gurgaon,,0,2017,1,consumer services,Seed,Vishal Malik
2017-01-04,LearnTron,Blended Learning Delivery App for Schools & Corporates,chennai,,0,2017,1,technology,Seed,Kae Capital
2017-01-05,MobiDent,Dentist Appointments booking platform,bengaluru,,0,2017,1,consumer services,Private Equity,Dangold Investment Corp
